,purebred,age_upon_intake,sterilized_upon_intake,time_at_shelter,age_upon_outcome,sterilized_upon_outcome,is_dog,is_male,breed1_ec,breed2_ec,col1_ec,col2_ec,in_type_ec,in_cond_ec,out_type_ec
2842,False,4,False,3,4.0,True,True,True,42,15,0,0,1,0,1
2843,True,1,False,3,1.0,True,True,False,12,0,4,3,1,0,1
2844,False,9,True,6,9.0,True,False,True,4,0,2,0,1,0,0
2845,False,6,False,3,7.0,False,True,False,95,3,5,2,2,0,0
2846,False,2,True,6,2.0,True,False,False,4,0,5,0,0,0,1
2847,False,0,True,10,0.0,True,False,False,4,0,5,0,0,0,1
2848,False,8,True,0,8.0,True,False,True,4,0,0,0,0,0,0
2849,False,2,False,60,2.0,True,True,False,48,0,4,5,0,2,1
2850,False,1,False,28,1.0,True,False,False,50,0,3,0,1,0,1
2851,True,1,False,5,1.0,True,True,False,3,0,2,0,0,0,1
2852,False,8,True,0,8.0,True,True,True,149,0,2,0,0,0,0
2853,True,0,False,0,0.0,False,True,True,3,0,1,3,0,0,3
2854,False,8,True,4,8.0,True,True,False,22,0,2,0,0,0,0
2855,False,0,False,35,0.0,True,True,True,12,0,5,3,0,0,1
2856,True,0,False,4,0.0,True,True,False,71,0,2,6,0,0,1
2857,True,1,True,0,1.0,True,True,True,150,0,5,6,0,0,0
2858,False,1,False,5,0.0,True,True,False,6,0,5,2,0,0,1
2859,False,2,False,23,2.0,True,False,True,4,0,0,0,0,0,1
2860,False,1,False,5,1.0,True,True,True,130,0,5,0,0,0,1
2861,False,3,True,3,3.0,True,True,True,3,0,5,2,1,0,1
2862,False,14,True,8,15.0,True,False,True,15,0,5,2,0,0,4
2863,True,1,False,2,1.0,False,True,False,71,0,2,6,1,0,3
2864,True,0,False,0,0.0,False,True,False,11,0,5,2,1,2,4
2865,False,0,False,1,0.0,False,True,True,12,0,5,3,0,0,0
2866,True,2,False,0,2.0,False,True,True,16,0,1,3,0,0,0
2867,False,2,False,9,2.0,True,True,False,12,0,2,0,0,2,1
2868,False,2,False,20,2.0,True,True,False,32,0,5,2,0,1,1
2869,False,0,False,19,0.0,False,True,False,6,0,1,4,1,1,1
2870,True,2,False,3,2.0,False,True,True,55,0,5,3,0,0,0
2871,True,1,False,21,1.0,True,True,True,1,0,5,2,2,0,1
2872,False,3,False,58,3.0,True,True,True,17,0,3,0,0,0,1
2873,False,1,False,6,1.0,True,True,True,33,9,4,2,0,0,1
2874,False,1,False,0,1.0,False,False,False,15,0,4,2,0,1,4
2875,False,3,False,92,3.0,True,True,True,3,78,1,3,0,0,1
2876,False,2,False,15,2.0,True,True,False,3,0,2,0,0,0,1
2877,False,6,True,1,6.0,True,True,True,1,0,5,2,2,0,0
2878,False,3,False,7,3.0,False,True,False,1,0,1,3,2,0,0
2879,False,2,False,0,2.0,False,True,True,28,0,1,0,0,0,0
2880,False,2,False,11,2.0,True,True,False,42,0,5,3,2,0,0
2881,False,4,True,0,4.0,True,False,True,15,0,4,0,0,1,0
2882,False,2,False,6,2.0,True,True,True,3,20,1,3,0,0,3
2883,False,3,False,4,3.0,False,True,True,3,0,5,2,0,0,3
2884,False,0,False,4,0.0,True,True,True,1,0,4,0,0,0,1
2885,False,0,False,2,0.0,True,False,False,4,0,3,0,1,0,1
2886,False,0,False,42,0.0,True,False,True,50,0,5,0,0,1,1
2887,False,1,True,3,1.0,True,False,True,4,0,1,3,0,0,3
2888,False,0,False,3,0.0,True,True,False,90,0,2,0,0,0,1
2889,False,1,False,14,1.0,True,True,False,17,0,1,3,0,0,1
2890,False,4,True,34,4.0,True,False,True,50,0,0,0,1,0,3
2891,False,2,False,8,2.0,True,True,True,2,0,5,3,0,0,1
2892,True,8,False,3,8.0,False,True,True,10,0,1,3,0,0,3
2893,False,3,False,2,3.0,False,True,True,125,0,5,2,0,0,0
2894,False,5,True,16,6.0,True,True,True,125,6,3,0,0,0,1
2895,False,0,False,4,0.0,True,True,True,6,0,2,0,0,0,1
2896,False,13,True,1,13.0,True,False,False,50,0,1,3,1,0,1
2897,False,2,False,1,2.0,True,True,False,9,0,1,0,0,0,0
2898,False,1,False,11,1.0,True,True,True,0,8,2,0,2,0,0
2899,False,0,False,54,0.0,True,True,False,3,0,5,2,0,2,1
2900,True,12,True,30,12.0,True,True,True,25,0,1,1,0,0,1
2901,False,0,False,9,1.0,False,True,False,49,0,1,3,1,0,3
