,age_upon_intake,sterilized_upon_intake,age_upon_outcome,sterilized_upon_outcome,is_dog,col2_ec,in_type_ec,in_cond_ec,out_type_ec
8137,2,False,2.0,True,True,3,0,0,1
8138,2,False,2.0,True,True,3,0,0,1
8139,0,False,0.0,False,False,0,0,0,3
8140,14,True,14.0,True,True,3,0,0,1
8141,1,False,1.0,False,False,0,0,0,3
8142,0,False,0.0,True,True,3,1,0,1
8143,8,True,9.0,True,False,0,0,2,1
8144,6,True,6.0,True,False,0,1,0,1
8145,0,True,0.0,True,False,0,1,0,3
8146,0,False,0.0,False,True,0,0,0,0
8147,6,True,6.0,True,True,3,1,0,1
8148,0,False,1.0,False,True,0,0,0,0
8149,4,True,4.0,True,True,3,0,0,0
8150,0,False,0.0,True,False,0,0,0,3
8151,10,True,10.0,True,True,3,0,0,0
8152,0,False,0.0,False,False,0,0,0,2
8153,1,False,1.0,True,False,0,0,0,3
8154,7,True,7.0,True,True,0,0,2,1
8155,4,False,5.0,True,True,3,0,0,1
8156,3,False,3.0,True,True,0,0,0,1
8157,4,True,4.0,True,True,0,1,0,1
8158,3,False,3.0,True,True,3,0,0,1
8159,4,False,4.0,False,True,3,0,0,0
8160,1,False,1.0,False,True,3,0,0,0
8161,1,True,1.0,True,False,4,0,0,0
8162,2,True,2.0,True,False,4,0,0,0
8163,14,True,14.0,True,True,3,1,0,1
8164,3,False,3.0,False,True,3,0,0,0
8165,3,False,3.0,False,False,2,2,0,3
8166,0,False,0.0,False,False,0,0,1,1
8167,2,False,2.0,True,True,3,0,2,1
8168,2,False,2.0,True,True,3,0,0,1
8169,4,False,4.0,False,True,3,0,0,3
8170,5,False,5.0,False,True,4,0,0,0
8171,8,False,8.0,False,False,0,0,2,3
8172,3,True,4.0,True,True,0,2,0,3
8173,5,False,5.0,False,True,2,0,0,0
8174,9,True,9.0,True,True,3,2,0,0
8175,9,True,9.0,True,False,0,1,2,0
8176,2,True,2.0,True,True,3,2,0,0
8177,1,False,1.0,False,False,0,0,0,2
8178,1,False,1.0,True,False,0,0,2,1
8179,8,True,8.0,True,True,3,0,0,0
